Ticker,Name,Exchange,Category Name,Country
RU000A0JUGA0.ME,ISU-AF OOO Academ Finans,MCX,,Russia
SIBG.ME,SIBIRSKIY GOSTINETS Public Joint-Stock Company,MCX,,Russia
ALRS.ME,Public Joint Stock Company ALROSA,MCX,,Russia
RU000A0JUHS0.ME,ISU-KP OOO AljansManagement,MCX,,Russia
ALBK.ME,Public Joint Stock Company Best Efforts Bank,MCX,,Russia
AMEZ.ME,"Public Joint Stock Company ""Ashinskiy metallurgical works""",MCX,,Russia
UWGN.ME,Public Joint Stock Company Research and Production Corporation United Wagon Company,MCX,,Russia
APTK.ME,Public Joint-Stock Company Pharmacy Chain 36.6,MCX,,Russia
AQUA.ME,PJSC Russian Aquaculture,MCX,,Russia
ARSA.ME,Arsagera Asset Management,MCX,,Russia
ARMD.ME,Public Joint Stock Company ARMADA,MCX,,Russia
ASSB.ME,Astrakhan Power Sale Company Public Joint Stock Company,MCX,,Russia
AVAZP.ME,Public Joint Stock Company Avtovaz,MCX,,Russia
AVAN.ME,Avangard Joint Stock BANK,MCX,,Russia
AVAZ.ME,Public Joint Stock Company Avtovaz,MCX,,Russia
BANEP.ME,Public Joint Stock Oil Company Bashneft,MCX,,Russia
BANE.ME,Public Joint Stock Oil Company Bashneft,MCX,,Russia
BISVP.ME,Public Joint-Stock Company Bashinformsvyaz,MCX,,Russia
BGDE.ME,Public Joint Stock Company Bogorodskiye Delikatesy,MCX,,Russia
RU000A0JUP71.ME,UK BIN Finam ISU-11000,MCX,,Russia
RU000A0JUUF0.ME,ISU-9000 UK BIN FINAM Group,MCX,,Russia
BISV.ME,Public Joint-Stock Company Bashinformsvyaz,MCX,,Russia
BLNG.ME,Belon Public Joint Stock Company,MCX,,Russia
BSPB.ME,"""Bank ""Saint-Petersburg"" Public Joint-Stock Company",MCX,,Russia
CHZN.ME,Public Joint-Stock Company Chelyabinsk Zinc Plant,MCX,,Russia
CHMF.ME,PAO Severstal,MCX,,Russia
CHKZ.ME,"Chelyabinsk Forge-and-Press Plant, Public Joint Stock Company",MCX,,Russia
GRNT.ME,Opened Joint-Stock Company City Innovative Technologies,MCX,,Russia
CLSBP.ME,Public joint-stock company Chelyabinsk Energy Retail Company,MCX,,Russia
EPLN.ME,Public Joint Stock Company Europlan,MCX,,Russia
CLSB.ME,Public joint-stock company Chelyabinsk Energy Retail Company,MCX,,Russia
CNTL.ME,Central Telegraph Public Joint Stock Company,MCX,,Russia
DASB.ME,"Dagestan Energy Supply Company, Public Joint-Stock Company",MCX,,Russia
DALM.ME,JSC Dalenergomash,MCX,,Russia
DGBZ.ME,Public Joint Stock Company Dorogobuzh,MCX,,Russia
DIOD.ME,DIOD Maker of Eco-Friendly Equipment and Nutrition Public Joint Stock Company,MCX,,Russia
DVEC.ME,Public Joint Stock Company Far-Eastern Energy Company,MCX,,Russia
DZRD.ME,Open Joint Stock Company Donskoy Factory of Radiocomponents,MCX,,Russia
RU000A0JUA37.ME,ISU EFG-1 Upravlenie Activami,MCX,,Russia
RU000A0JVT35.ME,ISU EFG-3,MCX,,Russia
RU000A0JUXF4.ME,ISU EFG-2,MCX,,Russia
ELTZ.ME,Electrozink Open Joint-Stock Company,MCX,,Russia
MISB.ME,Public Joint-stock Company TNS energo Mari El,MCX,,Russia
ENRU.ME,Public Joint-Stock Company Enel Russia,MCX,,Russia
EONR.ME,Open Joint-Stock Company E.ON Russia,MCX,,Russia
RU000A0JUBX3.ME,ISU-2 GFT PIF,MCX,,Russia
RU000A0JUW49.ME,ISU-3 GFT PIF,MCX,,Russia
RU000A0JUTA3.ME,ISU-4 GFT PIF,MCX,,Russia
FESH.ME,Far-Eastern Shipping Company PLC,MCX,,Russia
FEES.ME,Public Joint-Stock Company Federal Grid Company of Unified Energy System,MCX,,Russia
FORTP.ME,FORT JSC PRF RUB1(RUB),MCX,,Russia
GAZAP.ME,Public Joint Stock Company GAZ,MCX,,Russia
GAZC.ME,GAZKON Open Joint-Stock Company,MCX,,Russia
GAZS.ME,Public Joint-Stock Company Gaz-service,MCX,,Russia
GAZA.ME,Public Joint Stock Company GAZ,MCX,,Russia
GAZT.ME,Public Joint-Stock Company GAZ-Tek,MCX,,Russia
GCHE.ME,Public Joint Stock Company Cherkizovo Group,MCX,,Russia
RU000A0JUSU3.ME,ISU GK-2 UK GeoKapital,MCX,,Russia
KGKCP.ME,Kurgan Generation Company Open Joint-Stock Company,MCX,,Russia
RU000A0JVEZ0.ME,ISU GK-3 UK Kapital,MCX,,Russia
KGKC.ME,Kurgan Generation Company Open Joint-Stock Company,MCX,,Russia
GMKN.ME,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,MCX,,Russia
GRAZ.ME,Public joint stock company RAZGULAY Group,MCX,,Russia
GTPR.ME,Open Joint Stock Company GlavTorgProdukt,MCX,,Russia
GTLC.ME,Joint-Stock Company Gas To Liquid,MCX,,Russia
HALS.ME,Public Joint Stock Company HALS-Development,MCX,,Russia
HIMCP.ME,Khimprom Public joint stock company,MCX,,Russia
RUSI.ME,Public Joint-Stock Company Investment Company IC Russ-Invest,MCX,,Russia
IGST.ME,Izhstal PAO,MCX,,Russia
IGSTP.ME,Izhstal PAO,MCX,,Russia
IRKT.ME,Irkut Corporation,MCX,,Russia
IRAO.ME,Public Joint Stock Company Inter RAO UES,MCX,,Russia
IRGZ.ME,Irkutsk Public Joint Stock Company of Energetics and Electrification,MCX,,Russia
ISKJ.ME,Human Stem Cells Institute PJSC,MCX,,Russia
RU000A0JTXM2.ME,ISU-2 UK Kommer properti trast,MCX,,Russia
RU000A0JVPL6.ME,ISU KAPITAL UK Kapital EM,MCX,,Russia
POLY.ME,Polymetal International Plc,MCX,,Russia
TRNFP.ME,Public Joint Stock Company Transneft,MCX,,Russia
UTSY.ME,Public Joint Stock Company Uniform Techno Systems,MCX,,Russia
PLSM.ME,Plasmeq Public Joint-Stock Company,MCX,,Russia
TANL.ME,Tantal Public Joint-Stock Company,MCX,,Russia
NFAZ.ME,NEFAZ Publicly Traded Company,MCX,,Russia
RUSP.ME,Public Joint - Stock Company Ruspolymet,MCX,,Russia
KAZTP.ME,Public Joint Stock Company KuibyshevAzot,MCX,,Russia
KAZT.ME,Public Joint Stock Company KuibyshevAzot,MCX,,Russia
KBSB.ME,Kuban Power Sale Company Open Joint-Stock Company,MCX,,Russia
KMEZ.ME,Public Joint Stock Company Kovrov Mechanical Plant,MCX,,Russia
KOGK.ME,Korshynov Mining Plant Public Joint Stock Company,MCX,,Russia
KROT.ME,Joint-Stock Company Krasnyj Octyabr,MCX,,Russia
KRSG.ME,Public Joint Stock Company Krasnoyarsk Hydro-Power Plant,MCX,,Russia
KRKN.ME,Public Joint Stock Company Saratov Oil Refinery,MCX,,Russia
KRKNP.ME,Public Joint Stock Company Saratov Oil Refinery,MCX,,Russia
KUZB.ME,Kuznetsky Bank Public Joint Stock Company,MCX,,Russia
KZOS.ME,Kazan Public Joint Stock Company Organichesky sintez,MCX,,Russia
KZOSP.ME,Kazan Public Joint Stock Company Organichesky sintez,MCX,,Russia
LKOH.ME,PJSC LUKOIL,MCX,,Russia
LNTA.ME,Lenta Ltd,MCX,,Russia
LNZLP.ME,Lena Gold-Mining Public Joint Stock Company Lenzoloto,MCX,,Russia
LNZL.ME,Lena Gold-Mining Public Joint Stock Company Lenzoloto,MCX,,Russia
LPSB.ME,Lipetsk Power Sale Company Open Joint-Stock Company,MCX,,Russia
LSRG.ME,PJSC LSR Group,MCX,,Russia
LSNG.ME,Public Joint-Stock Company Lenenergo,MCX,,Russia
LSNGP.ME,Public Joint-Stock Company Lenenergo,MCX,,Russia
LVHK.ME,Levenhuk JSC,MCX,,Russia
MAGE.ME,Public Joint Stock Company Magadanenergo,MCX,,Russia
MFGS.ME,Slavneft-Megionneftegaz Open Joint-Stock Company,MCX,,Russia
MFGSP.ME,Slavneft-Megionneftegaz Open Joint-Stock Company,MCX,,Russia
MFON.ME,Public Joint Stock Company MegaFon,MCX,,Russia
MGVM.ME,War and Peace Media Group,MCX,,Russia
MGNZ.ME,Open joint stock company Solikamsk magnesium works,MCX,,Russia
MGTS.ME,Public Joint Stock Company Moscow City Telephone Network,MCX,,Russia
